is_string_match,is_string_without_punctuation_match,is_abbreviation,is_first_pronoun,is_second_pronoun,is_on_one_sentence,is_substring,first_name_class,second_name_class,negative,positive,support,confidence
0,0,0,0,0,0,0,LOCATION,ORGANIZATION,1,1,0.003051,0.0
0,0,0,0,0,0,1,LOCATION,ORGANIZATION,1,1,0.000088,0.0
0,1,0,0,1,1,1,UNKNOWN,UNKNOWN,1,1,0.000015,0.5
0,0,0,0,0,0,0,UNKNOWN,UNKNOWN,1,1,0.082064,0.001966
0,0,0,1,0,1,0,UNKNOWN,ORGANIZATION,1,1,0.00011,0.133333
0,1,0,0,0,0,0,UNKNOWN,LOCATION,1,1,0.026766,0.007945
0,1,0,0,1,1,0,UNKNOWN,UNKNOWN,1,1,0.000697,0.031579
0,0,0,0,0,0,1,UNKNOWN,UNKNOWN,1,1,0.000579,0.113924
1,1,0,0,0,1,1,LOCATION,LOCATION,1,1,0.000095,1.0
0,1,0,1,0,0,0,PERSON,PERSON,0.000015,0.0
0,1,0,1,0,0,1,PERSON,PERSON,0.000022,0.0
1,0,0,0,0,0,1,LOCATION,LOCATION,1,1,0.000015,1.0
1,1,0,0,0,1,0,PERSON,PERSON,0.000007,1.0
0,1,0,0,0,0,0,ORGANIZATION,ORGANIZATION,1,1,0.004422,0.014925
1,1,0,0,0,1,1,PERSON,PERSON,0.000029,1.0
0,1,0,0,0,0,1,ORGANIZATION,ORGANIZATION,1,1,0.000689,0.117021
0,0,0,0,1,0,0,UNKNOWN,UNKNOWN,1,1,0.00833,0.022887
0,1,0,0,0,1,0,ORGANIZATION,PERSON,0.00088,0.025
1,0,0,0,0,0,1,ORGANIZATION,ORGANIZATION,1,1,0.000044,0.833333
0,0,0,0,1,0,1,UNKNOWN,UNKNOWN,1,1,0.000037,0.0
0,0,0,0,0,0,0,PERSON,UNKNOWN,1,1,0.028702,0.011497
0,0,0,0,0,0,1,PERSON,UNKNOWN,1,1,0.000286,0.230769
