id,text,is_pronoun,entity_type,is_proper_name,is_first_person,previous_words,next_words,is_singleton
1,Kera\NN,0,EVENT,0,0,, untuk\SC amankan\VB pesta\NN olahraga\NN Pemerintah\NNP kota\NNP Delhi\NNP mengerahkan\VB monyet\NN untuk\SC,1
2,pesta\NN olahraga\NN,0,OTHER|OTHER,0,0,Kera\NN untuk\SC amankan\VB , Pemerintah\NNP kota\NNP Delhi\NNP mengerahkan\VB monyet\NN untuk\SC mengusir\VB monyet-monyet\NN lain\JJ yang\SC,1
3,Pemerintah\NNP kota\NNP Delhi\NNP,0,TITLE|TITLE|LOCATION,1,0,Kera\NN untuk\SC amankan\VB pesta\NN olahraga\NN , mengerahkan\VB monyet\NN untuk\SC mengusir\VB monyet-monyet\NN lain\JJ yang\SC berbadan\VB lebih\RB kecil\JJ,0
4,monyet\NN,0,OTHER,0,0,Kera\NN untuk\SC amankan\VB pesta\NN olahraga\NN Pemerintah\NNP kota\NNP Delhi\NNP mengerahkan\VB , untuk\SC mengusir\VB monyet-monyet\NN lain\JJ yang\SC berbadan\VB lebih\RB kecil\JJ dari\IN arena\NN,1
5,monyet-monyet\NN lain\JJ,0,OTHER|OTHER,0,0,amankan\VB pesta\NN olahraga\NN Pemerintah\NNP kota\NNP Delhi\NNP mengerahkan\VB monyet\NN untuk\SC mengusir\VB , yang\SC berbadan\VB lebih\RB kecil\JJ dari\IN arena\NN Pesta\NNP Olahraga\NNP Persemakmuran.\NNP Beberapa\CD,1
6,Pesta\NNP Olahraga\NNP Persemakmuran.\NNP,0,FACILITY|FACILITY|OTHER,1,0,untuk\SC mengusir\VB monyet-monyet\NN lain\JJ yang\SC berbadan\VB lebih\RB kecil\JJ dari\IN arena\NN , Beberapa\CD laporan\NN menyebutkan\VB setidaknya\RB 10\CD monyet\NN ditempatkan\VB di\IN luar\NN arena\NN,1
7,Beberapa\CD laporan\NN,0,OTHER|OTHER,0,0,lain\JJ yang\SC berbadan\VB lebih\RB kecil\JJ dari\IN arena\NN Pesta\NNP Olahraga\NNP Persemakmuran.\NNP , menyebutkan\VB setidaknya\RB 10\CD monyet\NN ditempatkan\VB di\IN luar\NN arena\NN lomba\NN dan\CC,1
8,setidaknya\RB 10\CD monyet\NN,0,OTHER|NUM|NUM,0,0,lebih\RB kecil\JJ dari\IN arena\NN Pesta\NNP Olahraga\NNP Persemakmuran.\NNP Beberapa\CD laporan\NN menyebutkan\VB , ditempatkan\VB di\IN luar\NN arena\NN lomba\NN dan\CC pertandingan\NN di\IN ibukota\NNP India.\NNP,1
9,lomba\NN dan\CC pertandingan\NN,0,THINGS|THINGS|THINGS,0,0,Beberapa\CD laporan\NN menyebutkan\VB setidaknya\RB 10\CD monyet\NN ditempatkan\VB di\IN luar\NN arena\NN , di\IN ibukota\NNP India.\NNP Pemkot\NNP Delhi\NNP memiliki\VB 28\CD monyet\NN dan\CC berencana\VB,1
10,ibukota\NNP India.\NNP,0,OTHER|OTHER,1,0,10\CD monyet\NN ditempatkan\VB di\IN luar\NN arena\NN lomba\NN dan\CC pertandingan\NN di\IN , Pemkot\NNP Delhi\NNP memiliki\VB 28\CD monyet\NN dan\CC berencana\VB mendatangkan\VB 10\CD monyet\NN,0
11,Pemkot\NNP Delhi\NNP,0,FACILITY|LOCATION,1,0,ditempatkan\VB di\IN luar\NN arena\NN lomba\NN dan\CC pertandingan\NN di\IN ibukota\NNP India.\NNP , memiliki\VB 28\CD monyet\NN dan\CC berencana\VB mendatangkan\VB 10\CD monyet\NN sejenis\NN dari\IN,0
12,28\CD monyet\NN,0,PERSON|PERSON,0,0,arena\NN lomba\NN dan\CC pertandingan\NN di\IN ibukota\NNP India.\NNP Pemkot\NNP Delhi\NNP memiliki\VB , dan\CC berencana\VB mendatangkan\VB 10\CD monyet\NN sejenis\NN dari\IN negara\NNP bagian\NNP Rajasthan.\NNP,1
13,10\CD monyet\NN sejenis\NN,0,NUM|NUM|NUM,0,0,ibukota\NNP India.\NNP Pemkot\NNP Delhi\NNP memiliki\VB 28\CD monyet\NN dan\CC berencana\VB mendatangkan\VB , dari\IN negara\NNP bagian\NNP Rajasthan.\NNP Jumlah\NN monyet\NN di\IN ibukota\NNP India\NNP mencapai\VB,1
14,negara\NNP bagian\NNP Rajasthan.\NNP,0,OTHER|OTHER|OTHER,1,0,memiliki\VB 28\CD monyet\NN dan\CC berencana\VB mendatangkan\VB 10\CD monyet\NN sejenis\NN dari\IN ," Jumlah\NN monyet\NN di\IN ibukota\NNP India\NNP mencapai\VB ribuan,\CD sebagian\NN besar\NN berada\VB",1
15,Jumlah\NN monyet\NN,0,OTHER|OTHER,0,0,dan\CC berencana\VB mendatangkan\VB 10\CD monyet\NN sejenis\NN dari\IN negara\NNP bagian\NNP Rajasthan.\NNP ," di\IN ibukota\NNP India\NNP mencapai\VB ribuan,\CD sebagian\NN besar\NN berada\VB di\IN kantor-kantor\NN",1
