sentence_id,text,document_id
1,kera untuk amankan pesta olahraga,1
2,pemerintah kota delhi mengerahkan monyet untuk mengusir monyet-monyet lain yang berbadan lebih kecil dari arena pesta olahraga persemakmuran,1
3,beberapa laporan menyebutkan setidaknya 10 monyet ditempatkan di luar arena lomba dan pertandingan di ibukota india,1
4,pemkot delhi memiliki 28 monyet dan berencana mendatangkan 10 monyet sejenis dari negara bagian rajasthan,1
5,jumlah monyet di ibukota india mencapai ribuan sebagian besar berada di kantor-kantor pemerintah dan hewan ini dianggap mengganggu ketertiban umum,1
6,jenis monyet yang dikerahkan pemkot berbadan besar berekor panjang dan memiliki wajah berwarna hitam,1
7,monyet ini diikat dengan tali panjang dan pelatih yang mengawasi mereka akan melepas tali begitu monyet-monyet kecil lain mendekat,1
8,kantor berita afp melaporkan stadion tinju dan hockey mendapatkan perhatian khusus karena sering diserbu monyet,1
9,monyet besar akan dikerahkan di dua stadion untuk mengusir serbuan monyet kecil,1
10,""" monyet besar akan dikerahkan di dua stadion tersebut untuk mengusir serbuan monyet kecil "" kata devender prasad pejabat pemerintah kota delhi kepada kantor berita afp",1
11,selama bertahun-tahun monyet mengganggu warga delhi,1
12,binatang ini menaiki kereta metro dan bahkan berkeliaran di kompleks gedung parlemen,1
13,belum lama ini kawanan monyet menyerbu kantor perdana menteri dan departemen pertahanan,1
14,binatang ini tidak bisa dibunuh karena masyarakat india menganggap mereka suci,1
15,selain harus mengusir kawanan monyet pemkot delhi juga kesulitan mengatasi wabah demam berdarah,1
16,curah hujan yang tinggi menyebabkan banyak genangan tempat ideal bagi nyamuk aedes berkembang biak,1
17,pemkot telah menempatkan ikan di berbagai genangan air untuk memangsa telur nyamuk,1
18,miliarder as jamu orang kaya cina,2
19,dua miliarder amerika bill gates dan warren buffett akan mengadakan jamuan makan malam di beijing bagi sejumlah orang terkaya di cina,2
20,gates dan buffett mengatakan mereka berada di cina untuk mempelajari kegiatan amal di negara itu,2
21,banyak orang menduga mereka ingin membujuk para tamu agar lebih banyak menyumbang untuk amal,2
22,kedua orang terkaya dunia itu sudah berhasil membujuk banyak orang yang sangat kaya di amerika agar menyumbangkan separuh kekayaan mereka,2
23,ada kerahasiaan mengenai acara itu pihak penyelenggara tidak membeberkan nama-nama tamu,2
24,salah satu orang yang akan menghadiri jamuan makan malam itu adalah chen guangbiao seorang miliarder yang meraup kekayaan dari bisnis mendaur ulang sampah dari industri bangunan,2
25,dia mengatakan kepada bbc bahwa dia sudah berencana menyumbangkan seluruh harta nya untuk amal bila dia meninggal,2
26,""" beramal dan membantu sudah menjadi bagian dari budaya cina selama 5.000 tahun",2
27,"tetapi kegiatan amal resmi baru dikembangkan di cina dalam 30 tahun terakhir sejak kami menerapkan reformasi ekonomi """,2
28,""" banyak orang baru mulai menjadi kaya dan kami baru-baru ini saja bisa memberi makan diri sendiri "" kata nya",2
29,menyumbangkan uang untuk amal belum begitu berkembang di cina sebaik di banyak negara lain,2
30,kalau jamuan makan malam ini bisa dikatakan berhasil keberhasilan itu adalah mendorong perdebatan mengenai apa arti beramal bagi yang membutuhkan,2
31,kisah pendiri facebook dibuat komik,3
32,kisah pendiri facebook mark zuckerberg akan diceritakan dalam sebuah komik biografi,3
33,komik dengan judul mark zuckerberg : pencipta facebook akan tersedia di pasar sebelum desember 2010 demikian pernyataan penerbit bluewater productions,3
34,"penulis jerome maida menyebut kisah zuckerberg "" mengagumkan "" dan "" luar biasa """,3
35,sebuah film mengenai facebook dengan judul the social network juga akan dirilis pada tanggal 15 oktober nanti,3
36,film yang ditulis oleh pencipta serial west wing aaron sorkin dan disutradarai oleh david fincher yang pernah menggarap film fight ' s club ini sebenarnya belum memperoleh izin mark zuckerberg,3
37,"pemuda berusia 26 tahun ini mengatakan "" saya mengharapkan tidak ada orang yang membuat film tentang saya ketika saya masih hidup "" kata nya dalam sebuah konferensi teknologi juni silam",3
38,hingga juli 2010 lebih dari 500 juta yang terdaftar dalam situs jejaring sosial tersebut,3
39,hanya butuh enam tahun bagi zuckerberg untuk bisa mencapai kesuksesan seperti sekarang ini setelah sebelum nya dia meluncurkan situs ini saat masih duduk sebagai mahasiswa di universitas harvard,3
40,"september silam majalah forbes memasukkan dia dalam daftar 35 orang terkaya di amerika serikat dengan total kekayaan diperkirakan mencapai us $ 6,4 miliar",3
41,tetapi langkah dia menuju kesuksesan tidak lah mulus,3
42,dua orang rekan zuckerberg di harvard mengklaim ide pembuatan facebook datang dari mereka,3
43,mereka terlibat dalam sengketa hukum yang berlarut-larut pada tahun 2008 dan diakhiri dengan pembayaran yang dirahasiakan jumlah nya kepada cameron dan tyler winklevoss yang kini juga membuat situs jejaring sosial bernama connectu,3
44,perebutan jamrud bahia raksasa,4
45,jaksa kalifornia akan mulai menanyai sejumlah pihak untuk menentukan mengenai kepemilikan dari jamrud raksasa yang disebut sebagai terbesar,4
46,jamrud bahia dinamakan sesuai lokasi penemuan nya di salah satu daerah di brasil memiliki berat 380 kg,4
47,diperkirakan jamrud raksasa itu bernilai lebih dari us $ 370 juta dan setidaknya enam orang mengklaim kepemilikan hak atas batu tersebut,4
48,jaksa akan mendengarkan semua pihak yang mengklaim permata itu sebelum memutuskan kasus nya pada oktober nanti,4
49,salah satu dari pihak yang berselisih adalah anthony thomas ahli konstruksi dari kalifornia yang mengatakan dia telah membayar kepada dua orang agen permata brasil senilai us $ 60.000 untuk jamrud tersebut tak lama setelah ditemukan sembilan tahun lalu,4
50,thomas mengatakan telah mengatur agar batu itu dikirim melalui kapal ke kediaman nya di san jose tetapi tak pernah muncul,4
51,dia percaya batu itu telah dicuri untuk dijual kembali dengan harga yang lebih mahal,4
52,thomas hanya salah satu dari enam pihak yang mengklaim sebagai pemilik jamrud raksasa itu,4
53,satu masalah yang dihadapi adalah dia kehilangan tanda terima akibat kebakaran yang melanda rumah nya,4
54,jamrud itu akhirnya sampai ke amerika meskipun setibanya di amerika tidak jelas siapa pemilik nya,4
55,satu hal yang diketahui batu itu sempat disimpan di lemari besi bank di new orleans yang terkena banjir ketika daerah itu diterjang badai katrina sehingga batu berharga terendam di dalam air untuk beberapa bulan,4
56,jamrud bahia kemudian dibawa ke las vegas untuk dilihat oleh calon pembeli namun disita oleh polisi los angeles,4
57,badut politikus ditantang baca tulis,5
58,seorang badut di brasil yang mempunyai peluang besar meraih kursi di parlemen dalam pemilihan minggu 3 10 - ditantang untuk membuktikan bahwa dia bisa membaca dan menulis,5
59,jajak pendapat memperlihatkan badut itu tiririca akan meraih lebih dari satu juta suara,5
60,namun hakim di sao paulo menuntut dia untuk memperlihatkan bisa memenuhi persyaratan baca tulis,5
61,sejumlah surat kabar brasil melaporkan tiririca - sama seperti satu dari sepuluh warga brasil buta aksara,5
62,tiririca - yang dalam bahasa sehari-hari portugis arti nya tukang mengeluh menjadi sensasi besar selama kampanye pemilihan,5
63,video kampanye nya yang kocak berhasil meraih jutaan penonton di youtube,5
64,"dia antara lain menggunakan slogan "" tidak bisa lebih buruk lagi "" dan "" apa yang dilakukan wakil anda ? sungguh saya tidak tahu tapi pilih lah saya dan saya akan mencari tahu untuk anda """,5
65,hakim memutuskan untuk menggelar ujian aksara setelah majalah epoca menayangkan video di situs nya yang memperlihatkan tiririca tampak kesulitan membaca,5
66,komisi pemilihan mengatakan sudah terlambat untuk menghentikan pencalonan nya namun dia bisa diberhentikan setelah pemilihan nanti jika gagal memperlihatkan kemampuan membaca,5
67,calon selebriti,5
68,tiririca yang nama asli nya francisco everardo oliveira silva - mulai bekerja di sirkus sejak berusia delapan tahun di negara bagian miskin ceara,5
69,dengan pengalaman nya dia kini menjadi salah seorang pelawak yang terkenal di tv,5
70,dia merupakan salah seorang dari puluhan calon yang berasal dari dunia olahraga maupun pertunjukan yang berjuang untuk merebut kursi di majelis rendah parlemen dengan bersaing melawan politikus berpengalaman,5
71,seluruhnya tercatat 6.000 calon dari 27 partai untuk meraih 513 kursi di parlemen,5
72,calon lain yang diduga akan meraih kursi di parlemen dengan kemenangan mutlak adalah romario yang merupakan salah seorang bintang sepak bola brasil saat meraih piala dunia 1994,5
73,para pengamat mengatakan popularitas para selebriti mencerminkan kebingungan dengan politik utama karena maraknya sejumlah skandal korupsi,5
74,ibu bayi dan parlemen,6
75,seorang anggota parlemen eropa asal italia menghadiri sidang parlemen di strasbourg dengan menggendong anak bayi nya,6
